date yyyy-mm-dd,numdate,measles
1894-5-5,1894.3425,263
1894-5-12,1894.3616,269
1894-5-19,1894.3808,180
1894-5-26,1894.4,133
1894-6-2,1894.4192,152
1894-6-9,1894.4384,123
1894-6-16,1894.4575,122
1894-6-23,1894.4767,117
1894-6-30,1894.4959,86
1894-7-7,1894.5151,61
1894-7-14,1894.5342,59
1894-7-21,1894.5534,41
1894-7-28,1894.5726,42
1894-8-4,1894.5918,27
1894-8-11,1894.611,16
1894-8-18,1894.6301,31
1894-8-25,1894.6493,11
1894-9-1,1894.6685,14
1894-9-8,1894.6877,17
1894-9-15,1894.7068,14
1894-9-22,1894.726,24
1894-9-29,1894.7452,8
1894-10-6,1894.7644,18
1894-10-13,1894.7836,18
1894-10-20,1894.8027,30
1894-10-27,1894.8219,10
1894-11-3,1894.8411,29
1894-11-10,1894.8603,25
1894-11-17,1894.8795,52
1894-11-24,1894.8986,47
1894-12-1,1894.9178,47
1894-12-8,1894.937,75
1894-12-15,1894.9562,42
1894-12-22,1894.9753,78
1894-12-29,1894.9945,52
1895-1-5,1895.0137,64
1895-1-12,1895.0329,78
1895-1-19,1895.0521,82
1895-1-26,1895.0712,65
1895-2-2,1895.0904,61
1895-2-9,1895.1096,60
1895-2-16,1895.1288,79
1895-2-23,1895.1479,94
1895-3-2,1895.1671,120
1895-3-9,1895.1863,159
1895-3-16,1895.2055,152
1895-3-23,1895.2247,147
1895-3-30,1895.2438,154
1895-4-6,1895.263,189
1895-4-13,1895.2822,202
1895-4-20,1895.3014,231
1895-4-27,1895.3205,231
1895-5-4,1895.3397,256
1895-5-11,1895.3589,277
1895-5-18,1895.3781,236
1895-5-25,1895.3973,297
1895-6-1,1895.4164,342
1895-6-8,1895.4356,333
1895-6-15,1895.4548,322
1895-6-22,1895.474,249
1895-6-29,1895.4932,251
1895-7-6,1895.5123,198
1895-7-13,1895.5315,210
1895-7-20,1895.5507,190
1895-7-27,1895.5699,170
1895-8-3,1895.589,163
1895-8-10,1895.6082,135
1895-8-17,1895.6274,99
1895-8-24,1895.6466,123
1895-8-31,1895.6658,84
1895-9-7,1895.6849,68
1895-9-14,1895.7041,60
1895-9-21,1895.7233,38
1895-9-28,1895.7425,56
1895-10-5,1895.7616,37
1895-10-12,1895.7808,40
1895-10-19,1895.8,53
1895-10-26,1895.8192,51
1895-11-2,1895.8384,64
1895-11-9,1895.8575,112
1895-11-16,1895.8767,119
1895-11-23,1895.8959,168
1895-11-30,1895.9151,167
1895-12-7,1895.9342,224
1895-12-14,1895.9534,242
1895-12-21,1895.9726,234
1895-12-28,1895.9918,253
1896-1-4,1896.0109,286
1896-1-11,1896.0301,287
1896-1-18,1896.0492,333
1896-1-25,1896.0683,430
1896-2-1,1896.0874,394
1896-2-8,1896.1066,432
1896-2-15,1896.1257,518
1896-2-22,1896.1448,479
1896-2-29,1896.1639,523
1896-3-7,1896.1831,441
1896-3-14,1896.2022,569
1896-3-21,1896.2213,425
1896-3-28,1896.2404,573
1896-4-4,1896.2596,434
1896-4-11,1896.2787,490
1896-4-18,1896.2978,535
1896-4-25,1896.3169,471
1896-5-2,1896.3361,456
1896-5-9,1896.3552,360
1896-5-16,1896.3743,342
1896-5-23,1896.3934,361
1896-5-30,1896.4126,280
1896-6-6,1896.4317,289
1896-6-13,1896.4508,227
1896-6-20,1896.4699,213
1896-6-27,1896.4891,176
1896-7-4,1896.5082,155
1896-7-11,1896.5273,180
1896-7-18,1896.5464,145
1896-7-25,1896.5656,115
1896-8-1,1896.5847,98
1896-8-8,1896.6038,92
1896-8-15,1896.623,64
1896-8-22,1896.6421,57
1896-8-29,1896.6612,32
1896-9-5,1896.6803,26
1896-9-12,1896.6995,42
1896-9-19,1896.7186,31
1896-9-26,1896.7377,34
1896-10-3,1896.7568,28
1896-10-10,1896.776,33
1896-10-17,1896.7951,38
1896-10-24,1896.8142,43
1896-10-31,1896.8333,53
1896-11-7,1896.8525,57
1896-11-14,1896.8716,67
1896-11-21,1896.8907,65
1896-11-28,1896.9098,92
1896-12-5,1896.929,86
1896-12-12,1896.9481,130
1896-12-19,1896.9672,152
1896-12-26,1896.9863,121
1897-1-2,1897.0055,131
1897-1-9,1897.0247,160
1897-1-16,1897.0438,165
1897-1-23,1897.063,116
1897-1-30,1897.0822,184
1897-2-6,1897.1014,164
1897-2-13,1897.1205,174
1897-2-20,1897.1397,143
1897-2-27,1897.1589,133
1897-3-6,1897.1781,153
1897-3-13,1897.1973,187
1897-3-20,1897.2164,188
1897-3-27,1897.2356,176
1897-4-3,1897.2548,196
1897-4-10,1897.274,195
1897-4-17,1897.2932,206
1897-4-24,1897.3123,233
1897-5-1,1897.3315,209
1897-5-8,1897.3507,349
1897-5-15,1897.3699,299
1897-5-22,1897.389,290
1897-5-29,1897.4082,210
1897-6-5,1897.4274,267
1897-6-12,1897.4466,209
1897-6-19,1897.4658,233
1897-6-26,1897.4849,222
1897-7-3,1897.5041,210
1897-7-10,1897.5233,146
1897-7-17,1897.5425,175
1897-7-24,1897.5616,145
1897-7-31,1897.5808,135
1897-8-7,1897.6,85
1897-8-14,1897.6192,78
1897-8-21,1897.6384,76
1897-8-28,1897.6575,42
1897-9-4,1897.6767,37
1897-9-11,1897.6959,40
1897-9-18,1897.7151,28
1897-9-25,1897.7342,25
1897-10-2,1897.7534,53
1897-10-9,1897.7726,63
1897-10-16,1897.7918,90
1897-10-23,1897.811,104
1897-10-30,1897.8301,149
1897-11-6,1897.8493,189
1897-11-13,1897.8685,172
1897-11-20,1897.8877,246
1897-11-27,1897.9068,228
1897-12-4,1897.926,269
1897-12-11,1897.9452,298
1897-12-18,1897.9644,305
1897-12-25,1897.9836,287
1898-1-1,1898.0027,266
1898-1-8,1898.0219,379
1898-1-15,1898.0411,358
1898-1-22,1898.0603,442
1898-1-29,1898.0795,486
1898-2-5,1898.0986,453
1898-2-12,1898.1178,473
1898-2-19,1898.137,593
1898-2-26,1898.1562,648
1898-3-5,1898.1753,663
1898-3-12,1898.1945,571
1898-3-19,1898.2137,663
1898-3-26,1898.2329,616
1898-4-2,1898.2521,684
1898-4-9,1898.2712,425
1898-4-16,1898.2904,498
1898-4-23,1898.3096,449
1898-4-30,1898.3288,539
1898-5-7,1898.3479,399
1898-5-14,1898.3671,500
1898-5-21,1898.3863,397
1898-5-28,1898.4055,429
1898-6-4,1898.4247,392
1898-6-11,1898.4438,339
1898-6-18,1898.463,334
1898-6-25,1898.4822,269
1898-7-2,1898.5014,243
1898-7-9,1898.5205,166
1898-7-16,1898.5397,154
1898-7-23,1898.5589,130
1898-7-30,1898.5781,94
1898-8-6,1898.5973,102
1898-8-13,1898.6164,76
1898-8-20,1898.6356,59
1898-8-27,1898.6548,30
1898-9-3,1898.674,38
1898-9-10,1898.6932,41
1898-9-17,1898.7123,33
1898-9-24,1898.7315,41
1898-10-1,1898.7507,39
1898-10-8,1898.7699,45
1898-10-15,1898.789,42
1898-10-22,1898.8082,57
1898-10-29,1898.8274,57
1898-11-5,1898.8466,104
1898-11-12,1898.8658,98
1898-11-19,1898.8849,149
1898-11-26,1898.9041,146
1898-12-3,1898.9233,136
1898-12-10,1898.9425,117
1898-12-17,1898.9616,112
1898-12-24,1898.9808,123
1898-12-31,1899,142
1899-1-7,1899.0192,127
1899-1-14,1899.0384,170
1899-1-21,1899.0575,159
1899-1-28,1899.0767,174
1899-2-4,1899.0959,153
1899-2-11,1899.1151,170
1899-2-18,1899.1342,210
1899-2-25,1899.1534,217
1899-3-4,1899.1726,210
1899-3-11,1899.1918,280
1899-3-18,1899.211,229
1899-3-25,1899.2301,283
1899-4-1,1899.2493,259
1899-4-8,1899.2685,267
1899-4-15,1899.2877,270
1899-4-22,1899.3068,335
1899-4-29,1899.326,306
1899-5-6,1899.3452,332
1899-5-13,1899.3644,377
1899-5-20,1899.3836,438
1899-5-27,1899.4027,404
